id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
161153,5752,Blinx 2: Masters of Time and Space,NULL,2004-11-16 00:00:00.000,NULL,NULL,66.3333,4,NULL,NULL
114308,21822,Block Breaker Deluxe,NULL,2004-12-31 00:00:00.000,NULL,NULL,82.5000,2,NULL,NULL
143770,159192,Blokers,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
143430,18864,Blood Will Tell: Tezuka Osamu's Dororo,"It focuses on a hero named Hyakkimaru , who has had much of his body stolen by forty-eight fiends and has prosthetic replacements. Along with his ally, the thief Dororo, Hyakkimaru must defeat all forty-eight fiends.",2004-09-09 00:00:00.000,NULL,NULL,70.0000,1,70.0690,5
18536,74894,Bloodline,NULL,2004-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
195638,1016,BloodRayne 2,"Rayne is a dhampir, born from the unnatural union of vampire and human. Her mixed heritage grants her vampiric powers and superior resistance to sunlight and water, but curses her with the bloodthirst of a vampire. She has defeated countless monsters both demonic and human, but now faces her most personal battle yet. Rayne must hunt down her very own siblings, who have banded together and pledged to carry on their father's legacy of creating a new era of vampire supremacy in which humans are mere cattle.",2004-10-12 00:00:00.000,18,NULL,64.0000,3,54.6088,55
177685,60124,Blue Chairs,NULL,2004-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120481,220077,Blue's Room: Coloring With Blue,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74261,92169,Bobby Carrot,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114445,49532,Boboboubo Boubobo: Bakutou Hajike Taisen,NULL,2004-10-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
168364,162426,Bomberman,NULL,2004-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
55964,198196,Bomberman 2004,NULL,2004-07-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
161757,198032,Bomberman 3D,NULL,2004-12-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
168448,45295,Bomberman Hardball,NULL,2004-10-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84918,49523,Boukyaku no Senritsu,NULL,2004-12-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
157018,206467,Bounce Symphony,NULL,2004-08-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116972,135922,Bowman,NULL,2004-12-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83580,69153,Brass Restoration,NULL,2004-07-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
